d=0 (0 -> 256; 0 -> 256) m=1.000000, r=99,g=146,b=108
	d=1 (0 -> 128; 0 -> 128) m=283455.728787, r=162,g=132,b=228
		d=2 (0 -> 96; 0 -> 96) m=27666.547828, r=235,g=218,b=128
			d=3 (0 -> 64; 0 -> 64) m=8.014691, r=104,g=97,b=57
				d=4 (0 -> 32; 0 -> 32) m=1102.224244, r=25,g=24,b=14
					d=5 (0 -> 0; 0 -> 0) m=0.000000, r=0,g=0,b=0
					d=5 (0 -> 0; 32 -> 32) m=0.000000, r=0,g=0,b=0
					d=5 (32 -> 32; 32 -> 32) m=0.000000, r=0,g=0,b=0
					d=5 (32 -> 32; 0 -> 0) m=0.000000, r=0,g=0,b=0
				d=4 (0 -> 32; 32 -> 64) m=1110.140625, r=26,g=24,b=14
					d=5 (0 -> 0; 32 -> 32) m=0.000000, r=0,g=0,b=0
					d=5 (0 -> 0; 64 -> 64) m=0.000000, r=0,g=0,b=0
					d=5 (32 -> 32; 64 -> 64) m=0.000000, r=0,g=0,b=0
					d=5 (32 -> 32; 32 -> 32) m=0.000000, r=0,g=0,b=0
				d=4 (32 -> 64; 32 -> 64) m=1110.140625, r=26,g=24,b=14
					d=5 (32 -> 32; 32 -> 32) m=0.000000, r=0,g=0,b=0
					d=5 (32 -> 32; 64 -> 64) m=0.000000, r=0,g=0,b=0
					d=5 (64 -> 64; 64 -> 64) m=0.000000, r=0,g=0,b=0
					d=5 (64 -> 64; 32 -> 32) m=0.000000, r=0,g=0,b=0
			d=3 (0 -> 64; 32 -> 96) m=0.000000, r=105,g=97,b=57
			d=3 (32 -> 96; 32 -> 96) m=0.000000, r=105,g=97,b=57
		d=2 (0 -> 96; 32 -> 128) m=27753.515625, r=236,g=218,b=128
			d=3 (0 -> 64; 32 -> 96) m=0.000000, r=105,g=97,b=57
			d=3 (0 -> 64; 64 -> 128) m=0.000000, r=105,g=97,b=57
			d=3 (32 -> 96; 64 -> 128) m=0.000000, r=105,g=97,b=57
			d=3 (32 -> 96; 32 -> 96) m=0.000000, r=105,g=97,b=57
		d=2 (32 -> 128; 32 -> 128) m=27753.515625, r=236,g=218,b=128
			d=3 (32 -> 96; 32 -> 96) m=0.000000, r=105,g=97,b=57
			d=3 (32 -> 96; 64 -> 128) m=0.000000, r=105,g=97,b=57
			d=3 (64 -> 128; 64 -> 128) m=0.000000, r=105,g=97,b=57
			d=3 (64 -> 128; 32 -> 96) m=0.000000, r=105,g=97,b=57
	d=1 (0 -> 128; 128 -> 256) m=1186825.356771, r=13,g=224,b=216
		d=2 (0 -> 96; 128 -> 224) m=115926.239929, r=151,g=158,b=41
			d=3 (0 -> 64; 128 -> 192) m=7.403320, r=67,g=184,b=246
				d=4 (0 -> 32; 128 -> 160) m=4645.277364, r=17,g=46,b=61
					d=5 (0 -> 0; 128 -> 128) m=0.000000, r=0,g=0,b=0
					d=5 (0 -> 0; 160 -> 160) m=0.000000, r=0,g=0,b=0
					d=5 (32 -> 32; 160 -> 160) m=0.000000, r=0,g=0,b=0
					d=5 (32 -> 32; 128 -> 128) m=0.000000, r=0,g=0,b=0
				d=4 (0 -> 32; 160 -> 192) m=4634.109375, r=16,g=46,b=61
					d=5 (0 -> 0; 160 -> 160) m=0.000000, r=0,g=0,b=0
					d=5 (0 -> 0; 192 -> 192) m=0.000000, r=0,g=0,b=0
					d=5 (32 -> 32; 192 -> 192) m=0.000000, r=0,g=0,b=0
					d=5 (32 -> 32; 160 -> 160) m=0.000000, r=0,g=0,b=0
				d=4 (32 -> 64; 160 -> 192) m=4634.109375, r=16,g=46,b=61
					d=5 (32 -> 32; 160 -> 160) m=0.000000, r=0,g=0,b=0
					d=5 (32 -> 32; 192 -> 192) m=0.000000, r=0,g=0,b=0
					d=5 (64 -> 64; 192 -> 192) m=0.000000, r=0,g=0,b=0
					d=5 (64 -> 64; 160 -> 160) m=0.000000, r=0,g=0,b=0
			d=3 (0 -> 64; 160 -> 224) m=0.000000, r=67,g=184,b=246
			d=3 (32 -> 96; 160 -> 224) m=0.000000, r=67,g=184,b=246
		d=2 (0 -> 96; 160 -> 256) m=115852.734375, r=150,g=158,b=41
			d=3 (0 -> 64; 160 -> 224) m=0.000000, r=67,g=184,b=246
			d=3 (0 -> 64; 192 -> 256) m=0.000000, r=67,g=184,b=246
